Shipping_Mode,Order_Priority,Customer_Segment,Market,Product_Category,Order_Quantity,Discount,Price,Days_for_Shipment_Scheduled,Order_Weekday,Order_Month,Late_Delivery_Risk
Standard Class,Critical,Consumer,Europe,Furniture,6,0.37,680.89,7,Tuesday,10,1
Same Day,Low,Consumer,Pacific Asia,Apparel,2,0.36,1131.42,1,Saturday,8,0
Second Class,High,Consumer,LATAM,Electronics,9,0.02,747.89,1,Wednesday,3,0
Second Class,Low,Consumer,Europe,Apparel,8,0.05,110.16,1,Tuesday,8,0
Standard Class,Low,Consumer,USCA,Office Supplies,1,0.15,604.08,5,Thursday,8,0
Standard Class,Medium,Corporate,LATAM,Apparel,17,0.37,1074.27,1,Saturday,4,1
Standard Class,Critical,Consumer,Pacific Asia,Electronics,13,0.34,500.39,3,Friday,11,1
First Class,Critical,Corporate,Pacific Asia,Furniture,5,0.02,1019.07,6,Thursday,5,0
Second Class,Low,Consumer,Africa,Furniture,7,0.2,955.08,4,Wednesday,1,0
Second Class,Low,Consumer,USCA,Office Supplies,9,0.29,1088.65,1,Wednesday,9,0
Standard Class,Medium,Consumer,Europe,Apparel,14,0.11,323.06,7,Wednesday,9,0
Same Day,Medium,Home Office,Africa,Office Supplies,19,0.29,600.9,3,Monday,4,0
First Class,Medium,Consumer,Pacific Asia,Apparel,1,0.15,408.9,5,Tuesday,5,0
Standard Class,Low,Corporate,Europe,Grocery,3,0.11,645.78,4,Sunday,5,0
Standard Class,Critical,Corporate,Pacific Asia,Office Supplies,16,0.16,32.76,6,Saturday,3,1
Standard Class,Medium,Consumer,Pacific Asia,Apparel,8,0.38,297.59,5,Wednesday,7,0
Standard Class,High,Corporate,USCA,Grocery,7,0.36,1169.1,4,Thursday,10,0
Standard Class,Medium,Home Office,LATAM,Office Supplies,11,0.37,727.73,3,Friday,8,0
Standard Class,Medium,Corporate,Europe,Furniture,15,0.37,216.26,3,Friday,12,1
Standard Class,Critical,Consumer,USCA,Grocery,13,0.07,614.9,4,Saturday,3,1
Second Class,Medium,Corporate,Pacific Asia,Office Supplies,6,0.36,840.6,7,Thursday,10,0
Standard Class,High,Corporate,Pacific Asia,Electronics,5,0.08,728.43,3,Wednesday,1,0
Standard Class,Critical,Consumer,USCA,Furniture,4,0.34,607.29,6,Wednesday,6,1
Standard Class,Medium,Consumer,Europe,Grocery,19,0.22,812.01,2,Wednesday,9,1
Standard Class,Medium,Consumer,Pacific Asia,Apparel,15,0.1,208.66,4,Tuesday,7,0
First Class,Low,Consumer,Europe,Electronics,5,0.16,531.44,1,Wednesday,3,0
Standard Class,Low,Consumer,USCA,Apparel,11,0.17,902.81,6,Tuesday,4,0
Standard Class,Low,Consumer,Pacific Asia,Electronics,18,0.29,699.55,1,Thursday,4,1
Second Class,Low,Consumer,Africa,Office Supplies,10,0.24,1088.47,7,Monday,8,0
Standard Class,Low,Home Office,Africa,Office Supplies,16,0.33,538.08,1,Saturday,4,1
Second Class,Low,Corporate,Pacific Asia,Apparel,4,0.16,167.29,1,Sunday,3,0
Standard Class,Low,Home Office,LATAM,Apparel,19,0.3,68.02,1,Wednesday,2,1
Standard Class,Medium,Corporate,Pacific Asia,Apparel,5,0.32,578.16,6,Monday,7,1
Same Day,Low,Consumer,Pacific Asia,Grocery,15,0.03,530.71,2,Sunday,2,0
Same Day,Low,Consumer,Pacific Asia,Furniture,6,0.15,315.25,1,Sunday,10,0
First Class,Medium,Home Office,USCA,Apparel,2,0.35,712.71,3,Monday,11,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,10,0.28,307.71,5,Thursday,5,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,6,0.17,267.42,3,Wednesday,12,0
Second Class,Medium,Consumer,USCA,Apparel,19,0.07,750.44,7,Saturday,6,0
Standard Class,High,Consumer,Pacific Asia,Apparel,6,0.04,1134.48,3,Thursday,10,0
Standard Class,Medium,Consumer,Africa,Office Supplies,15,0.09,251.3,7,Thursday,4,1
Standard Class,Medium,Consumer,Africa,Grocery,1,0.1,227.56,2,Friday,6,1
Standard Class,Critical,Consumer,Pacific Asia,Electronics,8,0.15,628.03,2,Tuesday,11,1
Same Day,High,Corporate,USCA,Office Supplies,11,0.07,152.13,7,Saturday,11,0
Standard Class,Medium,Consumer,Pacific Asia,Electronics,14,0.06,359.96,3,Thursday,10,0
Second Class,Medium,Corporate,Pacific Asia,Apparel,1,0.34,1189.0,3,Tuesday,11,0
Standard Class,Low,Corporate,Europe,Furniture,14,0.1,1010.84,1,Wednesday,5,1
Standard Class,Medium,Corporate,LATAM,Apparel,10,0.22,850.29,6,Wednesday,4,0
Standard Class,Critical,Consumer,USCA,Apparel,17,0.08,40.97,5,Sunday,8,1
Standard Class,Medium,Corporate,LATAM,Apparel,11,0.2,325.44,7,Monday,12,0
Same Day,High,Consumer,Europe,Office Supplies,10,0.11,687.91,6,Monday,11,0
First Class,Medium,Consumer,LATAM,Office Supplies,15,0.03,855.23,2,Sunday,9,0
Same Day,Critical,Corporate,Pacific Asia,Furniture,12,0.39,805.37,5,Monday,10,0
First Class,Medium,Consumer,Africa,Electronics,3,0.18,230.7,7,Saturday,10,0
Second Class,Low,Consumer,USCA,Electronics,18,0.16,564.88,5,Thursday,1,0
Same Day,Medium,Consumer,USCA,Electronics,7,0.08,246.22,6,Monday,12,0
Standard Class,Low,Consumer,Pacific Asia,Apparel,11,0.2,1109.05,7,Sunday,7,0
Standard Class,Low,Consumer,LATAM,Furniture,18,0.25,673.32,2,Friday,12,1
Standard Class,High,Home Office,USCA,Apparel,17,0.12,474.41,5,Monday,5,0
Standard Class,Low,Consumer,Europe,Furniture,16,0.19,1102.44,1,Wednesday,3,1
Standard Class,High,Consumer,Europe,Grocery,3,0.09,1085.71,6,Wednesday,8,0
Standard Class,Low,Corporate,LATAM,Office Supplies,13,0.21,609.88,2,Saturday,10,1
First Class,Low,Corporate,Europe,Apparel,8,0.31,827.27,3,Saturday,1,0
Standard Class,Critical,Home Office,Africa,Grocery,5,0.02,389.43,4,Tuesday,2,1
Standard Class,Low,Home Office,Pacific Asia,Electronics,7,0.21,376.12,1,Monday,2,1
Standard Class,Medium,Corporate,USCA,Grocery,19,0.16,663.98,7,Thursday,8,0
Standard Class,Medium,Home Office,Pacific Asia,Office Supplies,19,0.03,1017.51,2,Sunday,11,1
First Class,Medium,Consumer,LATAM,Office Supplies,12,0.38,720.62,7,Sunday,4,0
Standard Class,High,Corporate,Pacific Asia,Office Supplies,9,0.1,556.26,5,Tuesday,4,0
Same Day,Medium,Home Office,USCA,Grocery,17,0.23,800.33,6,Friday,4,0
First Class,Medium,Corporate,USCA,Electronics,10,0.15,976.63,3,Friday,6,0
Standard Class,High,Home Office,LATAM,Apparel,18,0.11,946.94,7,Monday,2,0
Standard Class,Low,Consumer,USCA,Electronics,1,0.21,451.01,7,Sunday,5,0
First Class,Medium,Consumer,Europe,Furniture,15,0.28,1123.43,4,Sunday,8,0
Second Class,Critical,Home Office,Pacific Asia,Furniture,11,0.31,28.75,2,Friday,8,1
Second Class,Medium,Consumer,Africa,Apparel,4,0.25,546.44,7,Tuesday,4,0
First Class,High,Corporate,Africa,Office Supplies,6,0.21,1089.96,6,Tuesday,9,0
Standard Class,Medium,Consumer,Africa,Apparel,13,0.31,838.25,1,Saturday,6,1
Standard Class,High,Corporate,LATAM,Grocery,8,0.21,847.75,1,Wednesday,1,1
Standard Class,High,Home Office,Africa,Office Supplies,7,0.39,196.2,3,Sunday,6,1
First Class,Low,Consumer,Pacific Asia,Apparel,5,0.21,702.65,1,Friday,7,0
Second Class,Low,Consumer,USCA,Apparel,5,0.13,1160.67,2,Wednesday,10,0
Standard Class,Medium,Consumer,Europe,Grocery,16,0.18,261.74,3,Saturday,2,0
Standard Class,Medium,Home Office,Africa,Grocery,6,0.2,399.35,7,Saturday,5,1
Standard Class,Low,Corporate,Africa,Electronics,16,0.11,472.46,4,Wednesday,7,1
Standard Class,Low,Consumer,Africa,Furniture,15,0.06,438.27,6,Sunday,6,1
Second Class,Low,Consumer,Europe,Apparel,6,0.17,756.19,2,Tuesday,2,0
Second Class,Critical,Home Office,Pacific Asia,Electronics,8,0.36,289.14,1,Wednesday,8,1
First Class,Medium,Home Office,Africa,Office Supplies,3,0.1,611.77,4,Sunday,2,0
Standard Class,Medium,Consumer,USCA,Office Supplies,9,0.14,486.28,7,Sunday,8,0
Standard Class,Low,Consumer,LATAM,Furniture,9,0.3,776.93,4,Tuesday,11,0
Second Class,Low,Corporate,Europe,Office Supplies,5,0.03,297.91,6,Friday,6,0
First Class,Low,Corporate,Pacific Asia,Furniture,19,0.33,668.22,3,Thursday,7,0
Second Class,Low,Home Office,USCA,Office Supplies,16,0.29,891.04,1,Wednesday,5,1
First Class,High,Consumer,Europe,Office Supplies,16,0.22,834.62,5,Monday,12,0
Standard Class,Critical,Corporate,Europe,Apparel,18,0.08,1002.79,4,Monday,9,1
Standard Class,Low,Corporate,LATAM,Grocery,12,0.04,1147.83,7,Wednesday,10,0
Standard Class,Low,Home Office,LATAM,Apparel,16,0.09,1026.22,4,Wednesday,10,0
Standard Class,Low,Consumer,Pacific Asia,Electronics,5,0.3,1126.46,2,Monday,1,1
Standard Class,Medium,Consumer,Africa,Grocery,3,0.37,30.84,3,Sunday,10,1
Standard Class,Low,Consumer,LATAM,Apparel,7,0.3,758.43,5,Friday,8,0
Second Class,Low,Home Office,Pacific Asia,Grocery,14,0.21,328.59,1,Tuesday,12,0
Standard Class,Low,Consumer,Europe,Grocery,16,0.38,972.7,7,Friday,12,1
Standard Class,High,Consumer,Africa,Grocery,1,0.33,984.66,7,Friday,4,1
Same Day,Medium,Corporate,USCA,Office Supplies,5,0.26,66.84,1,Thursday,9,0
Standard Class,Medium,Consumer,Europe,Grocery,8,0.02,718.71,2,Friday,9,1
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,2,0.12,1022.55,5,Saturday,2,0
First Class,High,Consumer,USCA,Grocery,7,0.12,709.02,1,Tuesday,12,0
Standard Class,Critical,Corporate,Europe,Office Supplies,6,0.14,516.39,4,Tuesday,4,1
Standard Class,Low,Corporate,LATAM,Grocery,10,0.16,101.37,6,Tuesday,8,0
Standard Class,Low,Home Office,Pacific Asia,Electronics,3,0.38,879.02,4,Tuesday,7,0
Standard Class,Medium,Home Office,USCA,Apparel,6,0.3,98.82,7,Saturday,6,0
Same Day,Low,Consumer,LATAM,Grocery,19,0.28,721.52,2,Tuesday,7,1
First Class,Medium,Corporate,USCA,Electronics,2,0.17,1101.98,1,Monday,1,0
Second Class,Medium,Consumer,Africa,Apparel,19,0.14,508.74,2,Sunday,4,1
First Class,Medium,Consumer,Africa,Furniture,17,0.05,926.5,7,Friday,4,0
First Class,Low,Consumer,Pacific Asia,Grocery,4,0.18,961.77,6,Wednesday,11,0
Standard Class,Medium,Consumer,USCA,Furniture,3,0.08,22.31,2,Wednesday,5,1
First Class,Critical,Consumer,Africa,Apparel,14,0.16,1098.78,3,Thursday,10,1
Standard Class,Low,Consumer,Europe,Apparel,3,0.06,234.65,1,Friday,8,1
First Class,Medium,Corporate,Europe,Grocery,11,0.14,346.41,1,Monday,6,0
First Class,Low,Consumer,Africa,Electronics,10,0.02,1046.22,2,Sunday,10,0
Standard Class,Low,Corporate,Africa,Grocery,3,0.0,827.04,2,Tuesday,2,1
Standard Class,Medium,Consumer,Pacific Asia,Electronics,9,0.35,452.51,6,Sunday,2,0
Standard Class,Low,Consumer,Pacific Asia,Grocery,16,0.26,114.58,4,Monday,12,1
Standard Class,Low,Consumer,Europe,Electronics,18,0.24,469.62,3,Monday,2,0
First Class,Low,Consumer,LATAM,Office Supplies,5,0.21,1159.94,2,Monday,7,0
First Class,Medium,Consumer,USCA,Electronics,15,0.29,134.49,1,Tuesday,3,1
Standard Class,Medium,Corporate,LATAM,Electronics,16,0.29,1016.9,3,Monday,12,1
Standard Class,Low,Corporate,Pacific Asia,Apparel,18,0.37,397.11,1,Sunday,8,1
Standard Class,Medium,Consumer,LATAM,Furniture,6,0.1,788.93,7,Thursday,3,0
Standard Class,Low,Consumer,Pacific Asia,Grocery,4,0.31,761.54,3,Thursday,11,0
Standard Class,Medium,Home Office,LATAM,Apparel,13,0.4,397.45,4,Wednesday,10,1
Standard Class,Medium,Consumer,Europe,Furniture,1,0.01,74.61,6,Friday,1,0
Same Day,Medium,Consumer,Pacific Asia,Apparel,2,0.15,187.09,6,Wednesday,5,0
Standard Class,Critical,Corporate,Europe,Apparel,15,0.17,683.36,6,Thursday,3,1
Standard Class,High,Corporate,LATAM,Grocery,4,0.33,1139.14,6,Sunday,7,0
Second Class,Low,Corporate,Africa,Office Supplies,13,0.01,1111.66,6,Sunday,8,0
Standard Class,High,Corporate,Africa,Apparel,14,0.24,145.03,5,Wednesday,12,1
Same Day,Low,Consumer,USCA,Grocery,15,0.36,1051.52,5,Tuesday,5,0
Same Day,Critical,Consumer,Africa,Electronics,8,0.06,288.23,2,Thursday,11,1
Standard Class,Low,Consumer,USCA,Furniture,9,0.05,1092.75,5,Tuesday,12,0
Standard Class,Low,Corporate,LATAM,Grocery,5,0.4,912.61,6,Monday,3,0
Standard Class,Low,Home Office,USCA,Office Supplies,3,0.33,1153.9,1,Sunday,6,1
Standard Class,Low,Consumer,USCA,Grocery,7,0.28,535.66,1,Wednesday,2,1
Standard Class,Medium,Consumer,USCA,Grocery,8,0.16,880.59,3,Saturday,2,0
Second Class,High,Consumer,Europe,Electronics,16,0.34,884.98,4,Friday,12,0
Standard Class,Medium,Consumer,USCA,Furniture,17,0.37,600.44,2,Monday,12,1
Standard Class,Medium,Consumer,Pacific Asia,Furniture,10,0.29,1169.68,7,Wednesday,5,0
Standard Class,High,Corporate,LATAM,Office Supplies,1,0.16,299.96,2,Sunday,7,1
Same Day,Low,Home Office,Europe,Furniture,19,0.23,1183.59,1,Tuesday,11,0
Standard Class,Low,Consumer,Pacific Asia,Electronics,18,0.04,976.42,1,Monday,6,1
Standard Class,Low,Consumer,LATAM,Office Supplies,18,0.06,743.16,6,Sunday,10,1
Standard Class,Low,Consumer,Europe,Electronics,5,0.31,99.95,5,Saturday,1,0
Same Day,Low,Consumer,LATAM,Electronics,11,0.01,318.64,2,Wednesday,7,0
Standard Class,Low,Consumer,Africa,Grocery,1,0.02,1011.13,3,Thursday,7,1
Second Class,Low,Corporate,LATAM,Grocery,11,0.2,876.5,7,Monday,11,0
First Class,Low,Consumer,Africa,Grocery,11,0.07,1155.6,4,Tuesday,1,0
Standard Class,High,Home Office,Africa,Apparel,5,0.12,482.18,6,Sunday,11,1
Second Class,Low,Corporate,LATAM,Electronics,18,0.16,1074.4,7,Tuesday,10,0
Standard Class,Medium,Corporate,Africa,Furniture,8,0.21,1035.57,2,Thursday,8,1
Second Class,Medium,Consumer,Europe,Office Supplies,15,0.11,1159.7,6,Saturday,4,0
Second Class,Medium,Corporate,Africa,Apparel,3,0.19,334.22,3,Sunday,8,0
Standard Class,Low,Consumer,USCA,Grocery,16,0.15,598.49,1,Friday,3,1
Standard Class,Low,Consumer,Europe,Apparel,12,0.03,106.35,3,Sunday,1,0
First Class,Low,Consumer,Europe,Apparel,2,0.35,713.19,3,Sunday,1,0
Standard Class,Low,Home Office,Europe,Electronics,13,0.11,881.46,6,Sunday,7,0
Standard Class,Low,Consumer,USCA,Electronics,19,0.24,293.23,6,Wednesday,5,0
Standard Class,Medium,Consumer,USCA,Furniture,13,0.23,211.89,2,Thursday,3,1
Second Class,Medium,Consumer,USCA,Office Supplies,18,0.08,771.04,3,Sunday,5,0
Second Class,Medium,Consumer,USCA,Office Supplies,16,0.01,477.82,2,Tuesday,3,0
Standard Class,Medium,Consumer,USCA,Grocery,10,0.34,517.61,5,Saturday,6,0
Standard Class,Low,Consumer,Pacific Asia,Furniture,7,0.2,570.63,7,Wednesday,2,0
Standard Class,High,Corporate,Pacific Asia,Office Supplies,2,0.17,618.65,5,Wednesday,5,0
Second Class,Low,Consumer,USCA,Apparel,4,0.31,242.68,3,Tuesday,1,0
Standard Class,Medium,Corporate,Europe,Apparel,4,0.01,697.51,7,Friday,1,0
Second Class,High,Corporate,Africa,Office Supplies,1,0.31,92.23,3,Monday,7,0
Standard Class,Medium,Consumer,Africa,Apparel,16,0.16,145.08,7,Thursday,1,1
Same Day,Low,Corporate,Pacific Asia,Apparel,6,0.22,856.72,4,Sunday,6,0
Standard Class,Medium,Corporate,USCA,Grocery,19,0.3,880.41,1,Saturday,10,1
Standard Class,Low,Corporate,LATAM,Apparel,5,0.22,326.92,5,Monday,10,0
Standard Class,Low,Corporate,Africa,Office Supplies,6,0.02,229.79,3,Wednesday,12,1
Same Day,Low,Corporate,Africa,Electronics,7,0.29,74.25,3,Saturday,12,0
First Class,Low,Consumer,Europe,Apparel,5,0.31,508.47,3,Tuesday,8,0
Standard Class,Medium,Corporate,Africa,Office Supplies,1,0.18,615.76,7,Sunday,10,1
Second Class,High,Consumer,Pacific Asia,Apparel,2,0.18,1080.36,7,Friday,6,0
First Class,Low,Corporate,USCA,Furniture,10,0.1,12.93,6,Sunday,12,0
Second Class,High,Consumer,USCA,Grocery,2,0.26,492.97,3,Wednesday,4,0
Standard Class,Critical,Home Office,Africa,Electronics,14,0.35,508.95,3,Tuesday,4,1
Standard Class,Critical,Consumer,LATAM,Apparel,7,0.26,1065.0,4,Sunday,7,1
Standard Class,High,Corporate,Pacific Asia,Office Supplies,10,0.31,243.29,6,Tuesday,5,0
First Class,Low,Corporate,Africa,Electronics,8,0.33,88.76,1,Sunday,11,1
Same Day,Low,Home Office,Pacific Asia,Apparel,1,0.09,464.12,4,Wednesday,4,0
Second Class,Medium,Corporate,LATAM,Furniture,8,0.16,738.66,2,Sunday,12,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,16,0.17,1031.19,4,Friday,5,1
Standard Class,High,Home Office,Pacific Asia,Grocery,14,0.22,330.14,1,Thursday,4,1
Second Class,Critical,Corporate,Pacific Asia,Apparel,19,0.02,309.06,1,Wednesday,3,1
First Class,Medium,Corporate,USCA,Office Supplies,10,0.24,397.91,2,Wednesday,4,0
First Class,Low,Home Office,LATAM,Apparel,18,0.04,150.7,2,Friday,1,0
First Class,Low,Consumer,USCA,Grocery,2,0.32,1172.89,1,Wednesday,10,0
Second Class,Low,Consumer,Europe,Furniture,5,0.39,653.34,5,Wednesday,4,0
Standard Class,Medium,Corporate,Africa,Grocery,2,0.12,333.95,1,Wednesday,11,1
Standard Class,Medium,Corporate,USCA,Grocery,3,0.2,440.47,2,Sunday,9,1
First Class,High,Consumer,Pacific Asia,Grocery,9,0.33,1040.49,7,Saturday,9,0
Second Class,Medium,Corporate,Europe,Electronics,11,0.13,811.73,5,Sunday,4,0
Standard Class,High,Consumer,LATAM,Office Supplies,16,0.06,668.31,2,Friday,7,1
Standard Class,Medium,Corporate,LATAM,Apparel,14,0.3,872.52,4,Tuesday,3,1
Second Class,High,Home Office,USCA,Furniture,14,0.28,909.43,1,Sunday,1,1
Standard Class,Low,Consumer,Pacific Asia,Apparel,11,0.23,241.11,4,Saturday,4,0
Standard Class,High,Corporate,Pacific Asia,Electronics,11,0.38,198.83,3,Tuesday,7,0
Standard Class,Medium,Corporate,LATAM,Furniture,18,0.38,1160.37,4,Wednesday,8,1
Second Class,Low,Consumer,Pacific Asia,Electronics,11,0.34,231.01,3,Sunday,6,0
Second Class,Low,Consumer,Africa,Apparel,14,0.12,563.07,1,Friday,12,1
Standard Class,High,Consumer,USCA,Furniture,19,0.09,1179.51,6,Saturday,7,0
Second Class,Low,Corporate,USCA,Apparel,18,0.33,506.48,2,Monday,1,1
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,4,0.26,622.67,5,Wednesday,7,0
Standard Class,Low,Consumer,LATAM,Electronics,13,0.16,960.05,5,Friday,9,1
Second Class,Medium,Consumer,Africa,Office Supplies,2,0.16,415.07,3,Thursday,8,0
Second Class,High,Consumer,Africa,Office Supplies,19,0.34,522.93,7,Thursday,3,0
First Class,Low,Corporate,Africa,Apparel,9,0.07,405.29,2,Saturday,1,1
Second Class,Medium,Corporate,Europe,Apparel,11,0.38,352.0,3,Saturday,9,0
Second Class,Critical,Consumer,Pacific Asia,Grocery,17,0.25,571.46,5,Tuesday,12,0
Standard Class,High,Corporate,Africa,Grocery,5,0.32,897.6,5,Thursday,5,1
Standard Class,High,Corporate,Pacific Asia,Furniture,9,0.15,1042.07,6,Tuesday,3,0
Standard Class,Medium,Consumer,LATAM,Apparel,16,0.23,569.44,6,Saturday,11,0
Standard Class,Low,Consumer,LATAM,Electronics,12,0.3,391.99,6,Thursday,8,0
Same Day,Medium,Home Office,LATAM,Apparel,1,0.17,1094.8,1,Monday,4,0
Standard Class,Medium,Corporate,Europe,Apparel,17,0.2,409.75,6,Wednesday,9,0
First Class,Low,Corporate,LATAM,Office Supplies,14,0.23,932.26,6,Tuesday,4,0
Second Class,Low,Consumer,Pacific Asia,Office Supplies,7,0.03,900.86,3,Wednesday,8,0
First Class,Low,Home Office,USCA,Grocery,16,0.35,69.23,3,Wednesday,8,0
Standard Class,Medium,Corporate,USCA,Furniture,15,0.35,221.39,6,Tuesday,3,1
